full_name	created_at	pushed_at	language	private	default_branch	open_issues	description
BBE-DBE/bbe-auth	2026-05-29T15:13:28Z	2026-09-09T14:05:35Z	TypeScript	true	feat/T-AUTH-100-phase1-core-oidc	1	Multi-tenant OIDC/OAuth2.1 identity provider (Welle-05-Identity, OKTOGEN add-on)
BBE-DBE/pm-runner	2026-05-25T14:02:03Z	2026-09-07T17:25:58Z	TypeScript	true	main	7	Auto-restart daemon for MAOF workers. Subscription-poll mode default, optional API-key failover via UI. systemd watchdog, multi-account-pool, quota-watchdog. Settings UI DE/EN.
BBE-DBE/bbe-coord	2026-05-01T21:35:55Z	2026-09-07T10:18:35Z	Shell	true	main	48	Multi-agent coordination system (BBE-DBE)
BBE-DBE/marketplace	2026-09-05T21:15:04Z	2026-09-05T21:15:05Z		true	main	0	
BBE-DBE/EcommerceSupplierAutomation	2026-06-07T19:37:22Z	2026-09-05T09:41:16Z	TypeScript	true	main	7	
BBE-DBE/bbe-leads	2026-09-03T16:16:16Z	2026-09-03T16:30:12Z	JavaScript	true	master	5	bbe-leads — Lead-Eingang, Uebersicht, Bedarfsanalyse, Fragebogen und Upload fuer AGEN.OS/dbl99. Laeuft auf dem 178er unter /srv/bbe-leads (systemd bbe-leads.service, Port 7622).
BBE-DBE/signit-selfdemo	2026-06-07T11:40:33Z	2026-09-02T14:11:52Z	HTML	true	feat/signit-selfdemo-staging	0	sign.it self-presentation hub (56 doors) — staging on adam---eve.com
BBE-DBE/geo-visibility	2026-06-21T22:34:17Z	2026-09-01T22:15:06Z	TypeScript	true	master	0	GEO / AI Visibility Tool — misst Marken-Sichtbarkeit in KI-Antworten (ChatGPT/Claude/Gemini/Perplexity)
BBE-DBE/oktogen-os	2026-05-30T21:40:52Z	2026-09-01T07:46:40Z	TypeScript	true	master	24	
BBE-DBE/bbe-ai-gateway	2026-06-04T23:16:28Z	2026-09-01T06:49:19Z	TypeScript	true	feat/bbe-ai-gateway-p2	6	BBE AI-Gateway — headless Multi-Modell-Router (Claude/Codex/Grok), Subscription-first, OAuth+RAG+Cost-Cap
BBE-DBE/bbe-mail	2026-05-17T10:25:58Z	2026-09-01T06:48:21Z	Rust	true	main	14	Independent agent-first multi-tenant mail platform (BBE proprietary). Mono-repo with deployment profiles: full (bbe-mail) and agent-only (agent-mail-service).
BBE-DBE/bbe-event-router	2026-08-26T17:56:42Z	2026-08-31T08:28:28Z	Python	true	main	1	OKTOGEN Event Router — minimaler Wecker (Cron-Poll): GitHub agent-ready/agent:idea Issues -> Agent-Session -> PR + Kommentar.
BBE-DBE/ssr	2026-06-25T09:08:34Z	2026-08-31T07:11:09Z	HTML	true	master	4	SSR — Serielle Fassadensanierung: ausfuehrender Betrieb (montiert SMS-Wandmodule)
